state,postcode,count,latitude,longitude
VIC,3015,10320,-37.8383,144.8775
VIC,3193,10302,-37.9787,145.0323
NSW,2041,10296,-33.8569,151.1813
NSW,2193,10288,-33.9101,151.1204
NSW,2790,10275,-33.4917,150.1413
QLD,4011,10267,-27.4195,153.0582
VIC,3133,10255,-37.8463,145.1917
VIC,3140,10246,-37.7579,145.3543
WA,6105,10244,-31.9664,115.9417
VIC,3081,10231,-37.7427,145.0473
QLD,4064,10213,-27.464,153.0011
QLD,4850,10211,-18.6418,146.1729
WA,6050,10211,-31.9282,115.8715
VIC,3135,10187,-37.8203,145.2481
NSW,2089,10179,-33.8349,151.2194
WA,6053,10164,-31.9176,115.9155
VIC,3055,10152,-37.7627,144.943
WA,6020,10150,-31.8444,115.7622
VIC,3356,10138,-37.5917,143.8295
NSW,2575,10120,-34.4236,150.4574
VIC,3127,10116,-37.8241,145.1008
SA,5070,10112,-34.897,138.6428
WA,6104,10092,-31.9437,115.9357
TAS,7248,10083,-41.4008,147.1305
VIC,3818,10080,-38.1308,145.8521
QLD,4869,10075,-17.0193,145.7318
QLD,4304,10065,-27.6116,152.8005
VIC,3075,10062,-37.6673,145.0142
QLD,4125,10037,-27.7126,153.0646
VIC,3059,10033,-37.6352,144.89
VIC,3976,10009,-38.036,145.2659
NSW,2533,10007,-34.6638,150.8414
ACT,2614,9989,-35.2482,149.0553
WA,6009,9984,-31.9825,115.8072
QLD,4103,9975,-27.511,153.0307
QLD,4405,9975,-27.1748,151.2473
NSW,2111,9969,-33.8302,151.1272
WA,6450,9960,-33.827,121.8736
VIC,3065,9944,-37.8011,144.9793
ACT,2606,9939,-35.346,149.0862
WA,6108,9934,-32.0607,115.9547
NSW,2090,9930,-33.8308,151.2263
VIC,3218,9917,-38.1379,144.3328
QLD,4720,9917,-23.5329,148.155
VIC,3352,9912,-37.565,143.8322
WA,6122,9904,-32.2208,115.9942
VIC,3335,9892,-37.7227,144.6497
SA,5092,9879,-34.8241,138.6831
WA,6233,9811,-33.2608,115.7263
VIC,3162,9787,-37.8907,145.0253
QLD,4160,9780,-27.5035,153.2445
VIC,3142,9776,-37.8421,145.0144
NSW,2576,9765,-34.4902,150.427
NSW,2120,9762,-33.7281,151.0747
QLD,4878,9741,-16.8325,145.7097
NSW,2075,9722,-33.7256,151.1661
QLD,4105,9720,-27.5319,153.0201
NSW,2759,9719,-33.7996,150.7889
VIC,3172,9705,-37.9757,145.1384
QLD,4508,9693,-27.1912,153.0232
VIC,3170,9667,-37.9276,145.1767
NSW,2281,9654,-33.1013,151.636
WA,6026,9648,-31.8021,115.7964
SA,5067,9630,-34.9218,138.6306
NSW,2019,9623,-33.9481,151.2039
WA,6714,9622,-20.7415,116.8244
WA,6156,9618,-32.0397,115.8025
VIC,3400,9604,-36.7156,142.1974
QLD,4802,9559,-20.2808,148.7113
SA,5022,9552,-34.9101,138.4976
QLD,4059,9543,-27.4516,153.0094
QLD,4871,9540,-17.401,145.2978
VIC,3802,9536,-37.9767,145.2607
NSW,2768,9533,-33.7278,150.9299
VIC,3132,9518,-37.8183,145.1978
SA,5125,9514,-34.7768,138.7108
QLD,4223,9511,-28.1502,153.4657
QLD,4055,9482,-27.4004,152.9306
QLD,4504,9478,-27.186,152.946
WA,6005,9475,-31.9465,115.8452
WA,6028,9454,-31.7276,115.7358
QLD,4566,9410,-26.4043,153.0585
VIC,3104,9397,-37.7931,145.084
VIC,3995,9353,-38.607,145.5901
QLD,4807,9313,-19.6314,147.387
NSW,2146,9310,-33.7896,150.9519
VIC,3194,9310,-37.9809,145.0687
NSW,2203,9263,-33.9036,151.1396
VIC,3224,9240,-38.1855,144.4557
NSW,2032,9239,-33.9247,151.229
QLD,4805,9235,-20.0078,148.1954
WA,6148,9226,-32.0332,115.8962
ACT,2604,9214,-35.3225,149.1459
NSW,2007,9212,-33.8805,151.1976
VIC,3129,9204,-37.806,145.1232
NSW,2211,9190,-33.9557,151.032
WA,6157,9147,-32.0373,115.7858
TAS,7315,9120,-41.1693,146.1703
NT,0830,9114,-12.4885,130.9792
NSW,2008,9109,-33.887,151.1981
SA,5086,9107,-34.8619,138.6414
WA,6160,9100,-32.0536,115.7551
NSW,2212,9079,-33.95,151.015
NSW,2546,9070,-36.2792,150.1025
VIC,3018,9066,-37.8649,144.8216
VIC,3066,9059,-37.8023,144.9872
NSW,2519,9056,-34.3917,150.886
NSW,2452,9032,-30.3569,153.0871
VIC,3305,8992,-38.3394,141.594
NSW,2333,8981,-32.2725,150.8746
SA,5073,8978,-34.8962,138.6736
VIC,3185,8972,-37.8856,145.0056
NSW,2470,8963,-28.8582,153.0361
QLD,4816,8959,-19.3913,146.4599
SA,5082,8954,-34.8846,138.5921
VIC,3125,8951,-37.851,145.1142
SA,5214,8951,-35.5044,138.7906
VIC,3103,8924,-37.8098,145.0804
NSW,2049,8917,-33.8949,151.1522
NSW,2526,8913,-34.4545,150.8272
NSW,2206,8912,-33.9246,151.1242
QLD,4031,8896,-27.4078,153.0298
TAS,7249,8857,-41.4678,147.1577
VIC,3756,8856,-37.4122,144.9802
QLD,4341,8856,-27.6027,152.4173
SA,5048,8836,-35.0175,138.5259
NSW,2360,8824,-29.7651,151.1082
NSW,2219,8808,-33.9939,151.1369
VIC,3013,8806,-37.8168,144.8838
NSW,2162,8775,-33.8816,151.0024
NSW,2047,8769,-33.8514,151.1539
NSW,2777,8755,-33.693,150.5867
QLD,4128,8743,-27.6572,153.1758
NT,0832,8737,-12.503,130.9966
SA,5074,8707,-34.8818,138.6694
QLD,4115,8693,-27.6248,153.0321
WA,6103,8681,-31.9591,115.9132
SA,5700,8654,-32.4999,137.771
NSW,2096,8643,-33.7777,151.2849
NSW,2767,8616,-33.7619,150.8749
TAS,7011,8615,-42.7935,147.2467
QLD,4565,8614,-26.3741,153.0168
VIC,3002,8591,-37.8132,144.9838
QLD,4860,8571,-17.5214,146.0155
VIC,3355,8569,-37.5311,143.8265
NSW,2199,8566,-33.9054,151.0211
VIC,3187,8530,-37.9159,145.0168
VIC,3930,8502,-38.1907,145.0929
SA,5608,8497,-33.0263,137.5322
QLD,4164,8443,-27.563,153.2651
NSW,2594,8423,-34.3032,148.2786
NSW,2068,8417,-33.8012,151.2035
NSW,2282,8392,-32.9779,151.6492
NSW,2582,8377,-34.8878,148.9225
QLD,4120,8327,-27.5059,153.048
NSW,2221,8301,-33.9843,151.1065
NT,0800,8296,-12.4608,130.8414
VIC,3147,8254,-37.8673,145.0913
VIC,3078,8213,-37.778,145.0235
TAS,7009,8206,-42.8446,147.2939
NSW,2446,8202,-31.4565,152.6983
VIC,3250,8195,-38.3456,143.5844
NSW,2073,8157,-33.7485,151.1388
