locality,state,postcode,count,latitude,longitude
Parkes,NSW,2870,7678,-33.1357,148.1767
Bowral,NSW,2576,7632,-34.4852,150.4274
Mudgee,NSW,2850,7620,-32.6005,149.5837
Hamilton,QLD,4007,7617,-27.4386,153.0674
Belmore,NSW,2192,7616,-33.9191,151.0889
Eight Mile Plains,QLD,4113,7615,-27.5793,153.092
Australind,WA,6233,7615,-33.2779,115.73
The Gap,QLD,4061,7596,-27.4443,152.9434
Ormeau,QLD,4208,7596,-27.7772,153.2566
Clayfield,QLD,4011,7590,-27.4193,153.0541
Armadale,VIC,3143,7587,-37.8572,145.0197
West Wodonga,VIC,3690,7578,-36.124,146.851
Goonellabah,NSW,2480,7570,-28.8198,153.3272
Parafield Gardens,SA,5107,7557,-34.7826,138.611
Cherrybrook,NSW,2126,7529,-33.7251,151.0431
West Ryde,NSW,2114,7528,-33.8074,151.0864
Riverwood,NSW,2210,7528,-33.9477,151.0535
Wallsend,NSW,2287,7509,-32.9034,151.6723
St Lucia,QLD,4067,7503,-27.4964,153.0008
East Maitland,NSW,2323,7502,-32.755,151.5891
Gympie,QLD,4570,7489,-26.1842,152.6668
Albany Creek,QLD,4035,7479,-27.353,152.9678
Carrara,QLD,4211,7471,-28.0173,153.3636
Rochedale South,QLD,4123,7452,-27.5996,153.1302
Woy Woy,NSW,2256,7451,-33.4952,151.3204
Padstow,NSW,2211,7448,-33.9527,151.0312
Erskineville,NSW,2043,7438,-33.9036,151.1856
Bentley,WA,6102,7433,-32.006,115.9094
Benalla,VIC,3672,7427,-36.5537,145.9799
Bracken Ridge,QLD,4017,7423,-27.3219,153.0324
Newstead,QLD,4006,7413,-27.4502,153.0438
Penshurst,NSW,2222,7395,-33.9636,151.0855
Byron Bay,NSW,2481,7375,-28.6457,153.6064
Raymond Terrace,NSW,2324,7370,-32.7591,151.7592
Balmain,NSW,2041,7328,-33.8581,151.1792
Kingswood,NSW,2747,7327,-33.7621,150.7211
St Clair,NSW,2759,7311,-33.7977,150.7844
Upper Mount Gravatt,QLD,4122,7298,-27.5553,153.0831
Balga,WA,6061,7298,-31.855,115.8398
Surrey Hills,VIC,3127,7286,-37.8265,145.0981
Young,NSW,2594,7281,-34.314,148.299
Inverell,NSW,2360,7278,-29.7741,151.1119
Peakhurst,NSW,2210,7270,-33.9607,151.0577
Aspley,QLD,4034,7244,-27.3657,153.0169
Broadmeadows,VIC,3047,7242,-37.684,144.9267
Ashgrove,QLD,4060,7237,-27.4431,152.9878
Nollamara,WA,6061,7230,-31.8795,115.8444
Homebush West,NSW,2140,7225,-33.8631,151.065
Grafton,NSW,2460,7224,-29.6809,152.9361
Biggera Waters,QLD,4216,7224,-27.9308,153.3957
Sandy Bay,TAS,7005,7223,-42.9071,147.338
Nelson Bay,NSW,2315,7217,-32.7209,152.1468
Elsternwick,VIC,3185,7212,-37.8855,145.0067
Belconnen,ACT,2617,7201,-35.2397,149.0688
Moorooka,QLD,4105,7194,-27.5342,153.023
Casula,NSW,2170,7192,-33.9507,150.8992
Sunshine North,VIC,3020,7186,-37.7654,144.8361
Woodridge,QLD,4114,7184,-27.6287,153.1064
Birkdale,QLD,4159,7177,-27.4977,153.2159
Wolli Creek,NSW,2205,7164,-33.9309,151.153
Mareeba,QLD,4880,7163,-17.0021,145.4296
Braddon,ACT,2612,7134,-35.2717,149.1336
Ballajura,WA,6066,7126,-31.8401,115.8961
Leopold,VIC,3224,7121,-38.1882,144.4666
Nowra,NSW,2541,7111,-34.8827,150.6052
Chippendale,NSW,2008,7109,-33.886,151.1994
Maddington,WA,6109,7099,-32.0506,115.9947
Mermaid Waters,QLD,4218,7091,-28.0481,153.4221
Glenorchy,TAS,7010,7089,-42.8399,147.2681
Kirrawee,NSW,2232,7082,-34.0323,151.0731
